threshold,precision,recall,f1,accuracy,auc
0.0,0.05,1.0,0.09,0.05,0.81
0.05,0.12,0.82,0.21,0.7,0.81
0.1,0.13,0.44,0.21,0.83,0.81
0.15,0.19,0.26,0.22,0.91,0.81
0.2,0.19,0.06,0.09,0.94,0.81
0.25,0.11,0.02,0.03,0.94,0.81
0.3,0.0,0.0,0.0,0.95,0.81
0.35,0.0,0.0,0.0,0.95,0.81
0.4,0.0,0.0,0.0,0.95,0.81
0.45,0.0,0.0,0.0,0.95,0.81
0.5,0.0,0.0,0.0,0.95,0.81
0.55,0.0,0.0,0.0,0.95,0.81
0.6,0.0,0.0,0.0,0.95,0.81
0.65,0.0,0.0,0.0,0.95,0.81
0.7,0.0,0.0,0.0,0.95,0.81
0.75,0.0,0.0,0.0,0.95,0.81
0.8,0.0,0.0,0.0,0.95,0.81
0.85,0.0,0.0,0.0,0.95,0.81
0.9,0.0,0.0,0.0,0.95,0.81
0.95,0.0,0.0,0.0,0.95,0.81
1.0,0.0,0.0,0.0,0.95,0.81
